,Student Name,Date of Birth,Field of Study,Year of Admission,Expected Year of Graduation,Current Semester,Specialization,Fees,Discount on Fees
417941,Taylor Sullivan,5/17/2005,Computer Science,2018,2019,3,Machine Learning,152066,28834
130234,Devon Gonzalez,6/21/1999,Computer Science,2019,2019,4,Network Security,119955,11301
319133,Matthew Garza,7/12/2000,Mechanical Engineering,2019,2018,2,Machine Learning,78001,14509
707565,Samuel Perez,1/13/1998,Civil Engineering,2016,2019,3,Network Security,181782,11498
560365,Jason Wong,9/2/2002,Mechanical Engineering,2019,2022,2,Artificial Intelligence,53384,8379
559001,Joshua Cox,9/29/2005,Mechanical Engineering,2017,2019,1,Data Science,164089,24697
202956,Elizabeth Davidson,11/28/2003,Civil Engineering,2019,2020,4,Machine Learning,59621,964
683417,Mrs. Melissa Peterson,12/12/2003,Electrical Engineering,2022,2017,4,Data Science,141910,2701
329436,Jennifer Medina,9/23/1998,Electrical Engineering,2021,2022,2,Web Development,196478,28649
175295,Terry Simmons PhD,1/29/2000,Mechanical Engineering,2020,2017,4,Machine Learning,115634,14197
163299,Julie Elliott,9/3/2002,Chemical Engineering,2022,2017,1,Web Development,87184,3845
813512,Spencer Olson,6/15/2003,Mechanical Engineering,2022,2023,1,Web Development,95306,7395
609076,Dr. Autumn Carlson MD,8/12/2001,Electrical Engineering,2018,2022,1,Web Development,184087,3535
437537,Jeffrey Shaw,10/16/2004,Electrical Engineering,2019,2021,4,Data Science,131320,18236
544867,Kimberly Johnson,6/22/2002,Computer Science,2022,2019,3,Web Development,158813,19278
940064,Carrie Barnes,2/5/2006,Civil Engineering,2016,2018,1,Data Science,152727,14556
535146,Anne Johnson,6/6/1997,Mechanical Engineering,2022,2023,3,Machine Learning,67158,4240
309247,John Bell,7/9/2002,Mechanical Engineering,2016,2022,3,Machine Learning,154492,16452
226754,Oscar Olson,12/5/2005,Mechanical Engineering,2017,2022,3,Data Science,74038,3288
597959,Danielle Gregory,10/1/2000,Civil Engineering,2019,2022,4,Data Science,73700,3236
126123,Javier Fuller,5/4/1999,Electrical Engineering,2017,2022,1,Web Development,187034,24629
329738,Timothy Carroll,4/8/2002,Civil Engineering,2019,2017,4,Network Security,107927,18638
933656,Brian Evans,9/28/1998,Civil Engineering,2021,2019,3,Network Security,90229,14428
356108,Jacqueline Richards,12/16/2002,Computer Science,2022,2022,3,Data Science,108025,13968
191258,Alan Camacho,2/19/2006,Civil Engineering,2018,2018,4,Artificial Intelligence,196373,15108
559648,Michelle Fritz,3/13/1999,Civil Engineering,2018,2020,3,Artificial Intelligence,106009,6296
693544,James Cruz,10/9/1998,Mechanical Engineering,2020,2017,2,Artificial Intelligence,117619,10142
244481,Morgan Briggs,5/16/2004,Chemical Engineering,2016,2018,3,Artificial Intelligence,184532,24973
724211,Brandon Dominguez,10/22/1997,Mechanical Engineering,2022,2019,4,Web Development,160531,24964
831117,Robin Rivera,5/7/2006,Mechanical Engineering,2016,2021,1,Web Development,113375,12479
755875,Latoya Pham,9/15/2005,Civil Engineering,2020,2020,3,Network Security,59210,9485
562125,Patrick King,2/25/2001,Civil Engineering,2020,2021,2,Machine Learning,187935,1726
695800,Seth Marshall,8/11/1997,Electrical Engineering,2022,2020,4,Web Development,93944,11133
389056,Scott Andrade,11/17/1998,Chemical Engineering,2017,2023,4,Web Development,132700,7523
293237,Dennis Lee,7/17/2004,Civil Engineering,2018,2022,3,Network Security,168105,6393
953845,Jodi Molina,5/17/2004,Electrical Engineering,2018,2023,2,Data Science,121175,13251
165543,Gina Martin,6/4/1997,Computer Science,2021,2017,1,Web Development,183000,35326
333585,Gina Pratt,6/22/2005,Electrical Engineering,2019,2020,3,Web Development,153885,5169
737952,Matthew Salinas,2/11/1998,Computer Science,2022,2018,1,Artificial Intelligence,131074,17686
748986,Samantha Hicks,8/11/1998,Computer Science,2018,2020,4,Web Development,132690,21447
904139,Kirk Delgado,11/25/1998,Chemical Engineering,2020,2023,3,Artificial Intelligence,98130,6189
485030,Bryan Henderson,5/9/2005,Chemical Engineering,2018,2022,1,Network Security,81007,10556
902941,Lisa Cunningham,8/18/2002,Mechanical Engineering,2019,2018,4,Machine Learning,61082,8746
582199,Jessica Chaney,8/22/1999,Mechanical Engineering,2017,2017,3,Machine Learning,154687,21894
352057,Benjamin Gonzalez,5/20/1998,Computer Science,2021,2021,1,Data Science,144556,25990
119093,Brent Gray,9/28/1999,Mechanical Engineering,2020,2021,1,Artificial Intelligence,100243,3168
205515,Miguel Marquez,2/8/2003,Computer Science,2021,2023,3,Network Security,107105,6254
334135,Joan Jones,6/14/2001,Mechanical Engineering,2021,2022,1,Artificial Intelligence,123645,1041
134426,Tiffany Tate,1/6/2006,Mechanical Engineering,2018,2019,4,Data Science,111711,2374
785228,Marissa Davis,5/20/1999,Computer Science,2021,2018,3,Web Development,85212,5551
744312,Larry Powers,11/24/2000,Civil Engineering,2020,2017,2,Machine Learning,138792,20036
148258,Herbert Hunter,2/17/2006,Computer Science,2020,2017,4,Machine Learning,123547,3619
652290,Ronald Mckinney,8/6/1997,Chemical Engineering,2018,2021,2,Machine Learning,117541,9048
983310,Maria Torres,8/10/2001,Civil Engineering,2016,2021,2,Machine Learning,181959,34852
382938,Michelle Rogers,8/26/2003,Mechanical Engineering,2016,2020,1,Web Development,104607,1304
892339,Tiffany Simon,9/22/1998,Mechanical Engineering,2017,2021,2,Data Science,124057,19767
314250,Brett Robinson,6/22/2004,Chemical Engineering,2022,2020,3,Machine Learning,73283,11276
797817,Melissa Singh,1/20/2005,Civil Engineering,2016,2021,3,Artificial Intelligence,173529,8011
829690,Michael Cameron,4/18/1998,Electrical Engineering,2018,2021,3,Data Science,179263,22436
881795,Tracie Jimenez,5/9/2002,Chemical Engineering,2016,2018,1,Web Development,55973,6837
372155,David Trujillo,4/2/1999,Mechanical Engineering,2022,2020,1,Artificial Intelligence,186123,32574
268020,Nicole Hoover,6/21/2004,Mechanical Engineering,2017,2023,1,Web Development,129188,18283
859565,Nathan Dunn,4/1/2004,Electrical Engineering,2020,2017,1,Data Science,62800,5291
299783,Richard Jones,10/17/2000,Computer Science,2020,2019,2,Artificial Intelligence,161593,48
268896,Mark Martinez,6/2/2004,Chemical Engineering,2020,2021,3,Network Security,59430,7365
148871,Madeline Cordova,10/28/2004,Chemical Engineering,2016,2021,4,Network Security,154278,22563
735681,Charles Moreno,6/14/2005,Chemical Engineering,2020,2021,1,Machine Learning,135309,1235
176739,Mark Finley,12/4/1999,Electrical Engineering,2016,2023,2,Network Security,149666,12143
919867,George Graham,10/13/2001,Chemical Engineering,2022,2018,1,Data Science,141470,2625
274635,Heather Santos,5/30/1999,Chemical Engineering,2016,2017,2,Web Development,95176,16202
934057,Mrs. Melissa Roy DVM,3/7/2002,Civil Engineering,2018,2020,2,Machine Learning,138996,3413
542278,Jessica Cole,8/13/1997,Civil Engineering,2018,2018,1,Artificial Intelligence,63992,4232
279924,Anthony Woodard,6/6/1999,Chemical Engineering,2021,2019,2,Network Security,76762,6239
719475,Aaron Adams,1/7/2005,Mechanical Engineering,2016,2023,4,Data Science,117606,20724
514951,Tiffany Green,5/26/1998,Mechanical Engineering,2022,2022,3,Web Development,82104,8448
769534,Michael Garcia,9/12/2002,Computer Science,2019,2019,3,Artificial Intelligence,120814,245
632840,Mary Brown,8/16/2002,Electrical Engineering,2016,2018,4,Artificial Intelligence,107513,16539
705594,Brittany Thompson,5/9/2006,Chemical Engineering,2021,2023,2,Web Development,170802,22587
365107,Anna Bruce,1/23/2005,Mechanical Engineering,2021,2022,1,Data Science,122509,2410
321337,Mallory Rojas,2/11/2003,Electrical Engineering,2016,2018,3,Network Security,91203,8970
820665,Andrew Mcdaniel,9/11/2004,Electrical Engineering,2021,2021,4,Artificial Intelligence,63312,9037
296318,Michael Harmon,1/29/2003,Computer Science,2019,2022,1,Data Science,187467,29568
227286,Brittany Rich,7/20/2004,Computer Science,2019,2021,3,Machine Learning,167108,5658
542430,Curtis Herrera,8/31/2005,Computer Science,2022,2018,2,Artificial Intelligence,60184,4652
196288,Mariah Guzman,6/6/2000,Computer Science,2019,2019,4,Artificial Intelligence,77861,3328
781076,Patricia Martin,9/26/2002,Electrical Engineering,2021,2019,2,Network Security,178109,11115
727772,Amanda Parker,6/3/2000,Electrical Engineering,2017,2020,3,Data Science,192584,25675
893745,Diana Brown,3/29/2005,Chemical Engineering,2018,2021,2,Artificial Intelligence,143270,22407
995738,James Chen,6/6/1998,Mechanical Engineering,2018,2019,1,Machine Learning,117915,4759
684398,Tyler Scott,4/5/2002,Mechanical Engineering,2022,2023,3,Data Science,132419,24263
924931,Stephanie Rubio,5/5/2001,Computer Science,2020,2018,1,Machine Learning,57653,9181
205734,Paul West,2/12/2006,Electrical Engineering,2022,2020,1,Machine Learning,66963,1106
267638,Zachary Boyd,6/28/1998,Electrical Engineering,2020,2020,2,Data Science,142057,12569
329766,Julia Holder,7/4/1998,Civil Engineering,2022,2019,3,Data Science,82507,2335
406761,Amy Dixon,4/3/2001,Chemical Engineering,2018,2018,2,Data Science,162745,4716
959961,Erin Mullen,10/22/1998,Mechanical Engineering,2022,2021,3,Data Science,59778,10528
177613,Kathryn Camacho,5/19/2001,Computer Science,2022,2019,1,Data Science,153373,27391
488831,Kara Mclaughlin,9/14/2005,Computer Science,2016,2018,2,Web Development,109141,18474
658976,Mrs. Morgan Sullivan,10/3/1998,Computer Science,2020,2018,4,Data Science,105982,3579
140370,Lisa Gray,7/26/1998,Civil Engineering,2022,2017,4,Data Science,196269,32431
538492,Mark Jimenez,2/16/2003,Electrical Engineering,2021,2017,2,Artificial Intelligence,187183,3583
476654,Michael Long,11/5/1997,Mechanical Engineering,2017,2020,2,Web Development,136989,20163
227544,Matthew Wade,9/22/2002,Civil Engineering,2016,2023,2,Data Science,135968,7960
580194,Kimberly Medina,3/17/2005,Civil Engineering,2020,2020,2,Web Development,141354,23126
648786,Crystal Buchanan,11/27/2004,Chemical Engineering,2022,2022,1,Network Security,75127,10041
464643,John Paul,1/23/1999,Computer Science,2016,2021,4,Web Development,95224,5811
581977,Daniel Conrad,11/22/1999,Civil Engineering,2021,2020,1,Artificial Intelligence,110475,20159
450268,Richard Huff,12/3/1997,Computer Science,2022,2022,1,Web Development,110181,2079
540421,Terry Gray,12/23/2003,Electrical Engineering,2018,2020,2,Artificial Intelligence,82860,6006
485417,Justin Collins,5/11/2004,Mechanical Engineering,2017,2019,4,Web Development,153304,2015
706413,Jessica Dickerson,3/21/2004,Mechanical Engineering,2021,2017,2,Network Security,98943,13728
723561,Diane Nelson,10/28/2004,Chemical Engineering,2016,2022,3,Web Development,85792,2465
364588,Rachel Martinez,7/14/1998,Computer Science,2017,2022,4,Artificial Intelligence,62038,6859
468604,Maxwell Macias,10/21/2000,Electrical Engineering,2022,2023,1,Machine Learning,72476,11910
721032,Crystal Fuller,6/23/1999,Mechanical Engineering,2019,2022,3,Web Development,100001,12170
677757,Donna Howard,6/4/2004,Mechanical Engineering,2022,2019,3,Machine Learning,63925,5234
577908,Jorge Owens,2/16/2005,Electrical Engineering,2020,2019,1,Machine Learning,77018,4296
730873,Debra Thompson,7/18/1998,Civil Engineering,2020,2020,2,Machine Learning,197917,13505
144476,Wanda Campos,11/10/2003,Mechanical Engineering,2016,2018,2,Network Security,184011,11359
431460,Walter Hernandez,9/6/2005,Chemical Engineering,2017,2017,1,Data Science,54926,5795
884871,Juan Smith,1/23/2004,Computer Science,2017,2023,4,Network Security,141215,3957
980406,Erin Perez,4/2/2001,Computer Science,2016,2022,2,Artificial Intelligence,165119,14176
186328,Amanda Lopez,10/21/2001,Electrical Engineering,2019,2017,1,Data Science,103238,9544
206456,Robert Norton,3/3/1999,Civil Engineering,2017,2022,2,Network Security,91266,8849
704441,Anthony Simmons,9/11/2001,Chemical Engineering,2018,2021,3,Machine Learning,194372,8560
543045,Vincent Merritt,10/4/2000,Civil Engineering,2021,2023,4,Machine Learning,160575,11722
746447,Cynthia Martinez,9/5/2000,Chemical Engineering,2022,2018,1,Network Security,143315,15417
122265,Danielle Matthews,12/8/2002,Mechanical Engineering,2021,2018,2,Machine Learning,66549,9933
